,IC_AE,IC_AW,IC_BE,IC_CE,IC_CW,IC_CX,building
2022-01-01 00:20:00+00:00,432.1,424.2,420.5,416.9,414.1,431.9,423.3
2022-01-01 00:25:00+00:00,431.8,426.7,421.1,428.2,419.9,433.4,426.8
2022-01-01 00:30:00+00:00,427.9,428.5,429.7,425.9,425.5,432.7,428.4
2022-01-01 00:35:00+00:00,428.6,430.3,428.4,426.1,426.1,432.3,428.6
2022-01-01 00:40:00+00:00,429.6,432.1,427.2,426.3,426.8,432.0,429.0
2022-01-01 00:45:00+00:00,430.5,433.7,425.9,426.2,428.0,431.3,429.3
2022-01-01 00:50:00+00:00,430.1,432.0,424.5,426.1,429.2,430.4,428.7
2022-01-01 00:55:00+00:00,429.8,430.6,422.9,426.8,430.4,428.9,428.2
2022-01-01 01:00:00+00:00,430.5,430.0,422.2,427.9,428.8,427.4,427.8
2022-01-01 01:05:00+00:00,430.8,429.3,422.5,429.1,427.0,425.9,427.4
2022-01-01 01:10:00+00:00,430.0,428.8,422.8,430.0,425.2,424.0,426.8
2022-01-01 01:15:00+00:00,428.4,428.3,423.2,431.0,423.2,423.6,426.3
2022-01-01 01:20:00+00:00,426.9,428.0,423.9,432.2,421.1,424.0,426.0
2022-01-01 01:25:00+00:00,425.8,427.9,425.1,432.4,419.6,425.2,426.0
2022-01-01 01:30:00+00:00,424.8,427.3,426.2,432.2,419.8,427.0,426.2
2022-01-01 01:35:00+00:00,424.8,426.5,427.0,431.9,420.9,429.1,426.7
2022-01-01 01:40:00+00:00,424.9,425.9,427.8,431.7,422.1,431.2,427.3
2022-01-01 01:45:00+00:00,424.3,425.4,428.5,431.6,423.4,432.4,427.6
2022-01-01 01:50:00+00:00,423.4,425.1,428.9,431.4,424.8,433.1,427.8
2022-01-01 01:55:00+00:00,423.2,425.8,429.0,431.5,426.2,433.1,428.1
2022-01-01 02:00:00+00:00,424.8,427.1,428.8,431.6,427.6,432.3,428.7
2022-01-01 02:05:00+00:00,426.5,428.4,428.3,431.8,427.9,431.3,429.0
2022-01-01 02:10:00+00:00,425.7,429.7,428.3,432.2,428.5,430.4,429.1
2022-01-01 02:15:00+00:00,425.1,430.5,428.4,432.7,429.2,429.4,429.2
