,m3,temp_to,temp_return,MWh,delta_MWh,delta_m3
2022-01-01 00:20:00+00:00,33136.76,74.9,36.8,,,0.0
2022-01-01 00:25:00+00:00,33136.76,74.9,36.8,,,0.0
2022-01-01 00:30:00+00:00,33136.76,74.9,36.8,1265.27,,0.0
2022-01-01 00:35:00+00:00,33136.76,74.9,36.8,1265.27,0.0,0.0
2022-01-01 00:40:00+00:00,33136.76,74.9,36.8,1265.27,0.0,0.0
2022-01-01 00:45:00+00:00,33136.76,74.9,36.8,1265.27,0.0,0.0
2022-01-01 00:50:00+00:00,33136.76,74.9,36.8,1265.27,0.0,0.0
2022-01-01 00:55:00+00:00,33136.76,74.9,36.8,1265.27,0.0,0.0
2022-01-01 01:00:00+00:00,33136.86,74.8,36.8,1265.27,0.0,0.09999999999854481
2022-01-01 01:05:00+00:00,33137.58,74.6,36.8,1265.3,0.029999999999972715,0.7200000000011642
2022-01-01 01:10:00+00:00,33138.3,74.4,36.8,1265.33,0.029999999999972715,0.7200000000011642
2022-01-01 01:15:00+00:00,33139.02,74.1,36.8,1265.36,0.029999999999972715,0.7199999999938882
2022-01-01 01:20:00+00:00,33139.74,73.9,36.8,1265.39,0.03000000000020009,0.7200000000011642
2022-01-01 01:25:00+00:00,33140.46,73.6,36.7,1265.43,0.03999999999996362,0.7200000000011642
2022-01-01 01:30:00+00:00,33141.03,73.4,36.7,1265.45,0.01999999999998181,0.569999999999709
2022-01-01 01:35:00+00:00,33141.03,73.4,36.7,1265.45,0.0,0.0
2022-01-01 01:40:00+00:00,33141.03,73.4,36.7,1265.45,0.0,0.0
2022-01-01 01:45:00+00:00,33141.03,73.4,36.7,1265.45,0.0,0.0
2022-01-01 01:50:00+00:00,33141.03,73.4,36.7,1265.45,0.0,0.0
2022-01-01 01:55:00+00:00,33141.03,73.4,36.7,1265.45,0.0,0.0
2022-01-01 02:00:00+00:00,33141.23,73.4,36.7,1265.46,0.009999999999990905,0.20000000000436557
2022-01-01 02:05:00+00:00,33141.95,73.3,36.7,1265.49,0.029999999999972715,0.7199999999938882
2022-01-01 02:10:00+00:00,33142.67,73.2,36.7,1265.52,0.029999999999972715,0.7200000000011642
2022-01-01 02:15:00+00:00,33143.38,73.0,36.7,1265.55,0.029999999999972715,0.7099999999991269
2022-01-01 02:20:00+00:00,33144.1,72.9,36.7,1265.58,0.029999999999972715,0.7200000000011642
